distances1,distances2,times
16.243454,16.243454,0.000000
-1.950897,-5.284231,0.083333
3.051616,-3.615051,0.166667
1.770314,-8.229686,0.250000
25.320743,11.987410,0.333333
-2.182054,-18.848720,0.416667
42.448118,22.448118,0.500000
21.554598,-1.778736,0.583333
36.523724,9.857058,0.666667
35.006296,5.006296,0.750000
56.287746,22.954413,0.833333
25.231926,-11.434740,0.916667
46.775828,6.775828,1.000000
50.326123,6.992790,1.083333
69.671028,23.004361,1.166667
51.501087,1.501087,1.250000
64.942385,11.609051,1.333333
62.054749,5.388082,1.416667
75.422137,15.422137,1.500000
84.994819,21.661485,1.583333
72.327142,5.660475,1.666667
98.947237,28.947237,1.750000
100.682574,27.349241,1.833333
100.858277,24.191610,1.916667
109.008559,29.008559,2.000000